node_pub,degree,total_capacity,pagerank,eigenvector,closeness,betweenness,clustering_coef,core_number,liquidity_density,bridge_score
039514e5d704c59a0eba65d25fc5fe559a1641243ccdf80c980b1fc10ca9c30ca2,6,52050,5.6388636046402406e-05,8.35304169043256e-23,0.18341460110901806,0.00021340872773077207,0.0,3,8674.999998554167,3.556812128253399e-05
02600a8bd6f6fdeca963b41d75b3f7a258912c4fdd09159aa25db5488d942e6419,5,45150,2.3081046689986653e-05,3.361066836204787e-18,0.2205673335532387,0.00047263971933151055,0.0,3,9029.999998194,9.452794384739652e-05
031d05d7c34bd2d9817cf74f4ab49ee1a7efd3be9fadec8d0c1bf4b1cecc76c282,1,176376,1.6117979186872578e-05,2.015844460794006e-19,0.17762110313175616,0.0,0.0,1,176375.99982362398,0.0
0239475f6f41ca26688699b4e2fb4ac87bcfbde8b02788937a4b7e54bdeb5860ce,8,381150,3.822438221863967e-05,5.6497212250925657e-14,0.23549982455721843,6.169078335908454e-05,0.10714285714285714,6,47643.749994044534,7.711347918921649e-06
03ad6cd751e6b91831a0ea19c0e84f54f17ac51b6a9d5d2e81663238701286186f,11,4030000,1.3690164340765927e-05,1.1298934959891303e-06,0.31508452776045365,0.0007339332526996377,0.2,9,366363.63633033057,6.672120478481058e-05
023337924c8c847b6b78982d0baa8efd3c48a65facb987fdd277a04c7c7791a4eb,5,5600,1.0368424214999169e-05,3.461771108056198e-21,0.19620375895873535,0.00021750536484070623,0.0,4,1119.999999776,4.350107295944103e-05
03381d03415d45d91c342752ec48d6ae77b7bd676c217d9233e4acb3f207b966d0,1,10000,8.896429517411114e-06,1.2276753607979456e-17,0.20853830618148594,0.0,0.0,1,9999.999989999998,0.0
03adae695ae0e060a75dd6a3a1db11f9d70de1e9a298d112cc593e4631beefd123,11,102703,2.0217584165514104e-05,1.4432373831779004e-15,0.2299855995585804,0.00017369373985906726,0.18181818181818182,7,9336.636362787578,1.5790339985752448e-05
0313f9449cdb528dc9707c02da507cc9306eedc415091c07dc75dcdf621844a5ab,5,1193434,9.871038650324263e-05,5.5246228773136353e-14,0.23136076259272303,0.00013314194338868155,0.4,5,238686.79995226263,2.662838867241063e-05
0282c46d63439bfc720089a060df2645010a8216943a1dafa9639b6babfd5f245b,2,210000,2.878269695211887e-05,1.208348472266375e-19,0.17423823973887478,6.657202184318376e-07,0.0,2,104999.9999475,3.3286010904948875e-07
0258478c6633cd62b3ee6d326d5afd34a198767d5d177588ddb47dcd1e7293b448,1,10000,1.7567152819970487e-05,4.1530809170170246e-24,0.18162562670171234,0.0,0.0,1,9999.999989999998,0.0
0273081ce642554d5a68a5236564fe88a3783457dc09e52812517f5724f36daefd,8,245459,3.897253557805804e-05,1.92857122225344e-13,0.25079365146101007,4.748194863061393e-05,0.07142857142857142,6,30682.374996164704,5.935243578084836e-06
029efce538a7f6ba7873b1bd00e0028ca39a658b96af326d349fa45bfa34226073,9,978000,8.096487511447563e-05,5.379774480920612e-15,0.21361439544111055,5.46433316324045e-06,0.19444444444444445,6,108666.6666545926,6.07148129181478e-07
02b4da86862b35825ba8a8d39fd6eb478296f8f66d8c628bc5361f96e731739134,1,5000,8.568544126226178e-06,3.020871180596676e-21,0.1742348432488556,0.0,0.0,1,4999.999994999999,0.0
02c8cde4c1e8019db5e8cba5af686d13a9a863aaf0d287156edc4829ee490e8d65,1,110655,1.2999135582890725e-05,2.0687758428863582e-18,0.18695169088568644,0.0,0.0,1,110654.999889345,0.0
023f98766412494a4c301da6aeac8d0b314b240d75b300ec9df827d1713cf3be45,5,798698,6.131276151147787e-05,1.9100366238726096e-16,0.21092257126578806,1.0442702976192711e-06,0.2,4,159739.5999680521,2.088540594820834e-07
025b33d04d645a36dc332373df7f7bcfc6306b100bef3ca9500fbaad45c60f68c6,1,90000,1.3048985874987388e-05,5.2802833405715515e-16,0.18920345338254205,0.0,0.0,1,89999.99991,0.0
0297c92eabb53231b9fb48100b9550227eb66c04b9e74f5b86431019bbcd062685,1,1000000,0.00013186245859087223,2.8952265464300922e-18,0.19531412584936889,0.0,0.0,1,999999.999,0.0
031a32a1a78f66a775008abb4b2e3b7a781b84676946f960f60cf5aa0fd5128d4c,5,414000,6.563339115417658e-05,9.879690550323075e-15,0.20640019261620296,0.00021658391180176813,0.1,3,82799.99998344,4.331678235169027e-05
