hub,outbound_before_msat,outbound_after_msat
02dd4a9cf224e290851f6af83072e2496479bdf4b65e1733e92e24d42a0ba89a75,163777215000,9770661289
03c445275ee7d79ee5778ca2ac81b7c4d84aed7ee04629e8d8f35434b3c21e2da8,175805456000,22925943775
0290b992ad57328eccde9d51056ceae671de6f73cce6925972b2d11d2572ee3c5b,728202215000,113306210756
03d32e5618df518e911e2c0bf4686e9d236ae9ab0afd442f0a5de28b74d64338b3,214083542500,21841605513
038f8f113c580048d847d6949371726653e02b928196bad310e3eda39ff61723f6,125198226000,17229284400
026ec3e3438308519a75ca4496822a6c1e229174fbcaadeeb174704c377112c331,309475768000,39429149372
03a503d8e30f2ff407096d235b5db63b4fcf3f89a653acb6f43d3fc492a7674019,746819301750,79893328486
02644f80b5d32ed9a9888690571159692a17d7ead7db2df5124a8e2a72a8447d30,667961358000,63721811386
02bb24da3d0fb0793f4918c7599f973cc402f0912ec3fb530470f1fc08bdd6ecb5,2276359414000,263845201473
02eddc0695cadb93d5738624d152a3a28889392e8a0dfe77e1cdfc19db3aec1f29,208779130000,21307627544
029da80a069c1e6e854e127c022d4d6a725b3a8a5e7feb297e9ae1f336a2b74a8e,82320142000,9244796660
02a30a322b271579e0875fc77eb265a82bef0d82589b87560d2bbc41b05804b759,225927478250,22381073259
025d28dc4c4f5ce4194c31c3109129cd741fafc1ff2f6ea53f97de2f58877b2295,173995660500,26160826762
0395033b252c6f40e3756984162d68174e2bd8060a129c0d3462a9370471c6d28f,457518887250,68081109075
031015a7839468a3c266d662d5bb21ea4cea24226936e2864a7ca4f2c3939836e0,1541484816500,220642145886
0393a0f0312439b82d43ceb35af6f7a2a2d5a5aa71e461f66b418a77532db51c00,682013290750,78274906963
033fc997c1622281b143fce0cce0711f18fdc8129684840b835d6a4c5ef9d49ddf,332934395500,42915064583
03d28ac32e13a26bc2bc4c2e24adde07d8db2c27557de8047767e41537304bc64d,492668649000,49005717771
0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,2642848529500,435065401675
02e910316bb813e5401f6befd3d078d32ef39ce017265fc3f7ec1dc7f638d44439,238225103500,29939322725
02bb10aaa77a95a358cebb2d112c4de00e47c08f56e89b1acb4487ddd44cc98d6d,542506416250,69729887405
0399d0b447f378db24fe5f4ecc7afb65bc074596a0fc8cf299d5cb8319ad299f8d,591954230000,66209605861
0302536817c335e45bcd0b10b78fd06bc246609405d98eb64672410dce04f49e5f,204068302250,34207294546
0334024afcf34dfa3c88e3210290b9039e3f815188a53361dc300eb3d870253889,235928963250,34709502382
0372642964437b607ab64eb12de9b31b6e015a5b49c51b9bf73233090848870ca8,136327215000,15095285247
029546959ef2ad14bdac0b306cce46620266210a3c8701d83323bda6c5c1cc7ded,452029768750,60093692901
02439112f98b6f4828e1a7426bfbece166bd36837d7dea4225a75ebd1d96864a07,319007170500,45650802907
023ffea7f9a3c3ae9c36963618c07fc3f8e0e794e685c53e63b4430a4fe2a305cb,300672435500,27898231082
024a8228d764091fce2ed67e1a7404f83e38ea3c7cb42030a2789e73cf3b341365,647310273500,86295420326
02507f684e3e97ba49ed713fadeb97c22ab1ff666ebfc36066a14a04d8b30bb9fb,149978645000,17684556607
033e7e466c56c51f53723fb966674db881b5aae8907e22170d630fb1b149f55ee3,327679430000,51231383712
027e70d8859e090ed975b11cfa02109221482954a254dff185e4142188eb66518b,142731187000,12087354910
0387be05e3549387cc3bc546def54d4fe1630358528316826c301853a67355fa14,362963860000,34485799931
024d2c2b40687a4d4467314671efb2eb43ba105ae469426a1da3875cbeb71c0acf,338494484500,50116536205
0204b635c21133e188ff22b1ec6eab17e76d341ce4c631722c710547258b2e6f1e,292132008000,38740477807
0337694505123a12a8fadd95523dcc235898ad3b80a06e4a63ca26fed68dd0d17c,752567171250,120329727987
030f2c70ce2e9a0aa20457f0e26be4f768f5e0e5b12ae81e5814145f52ecc6d1ec,585898727500,71758988856
03797f6e11559f4b2f664c870eb6162883cd273bb77c41359f5bbedf59c54b6947,315542442000,41621535826
02fe80fb6a2dc0fb6e9bec49c76d048889c91355d4e900fcb026bf095665790325,109925786000,15512672000
0369a6185476b5d0372f526bc99d7614ff83fc0bfb11821b6e3c978ee64bcc865c,301626574500,40028178613
03ce0d665b403fa06f9390c72f7a1b212096da7e0f491106bbebf5f34773264a6a,490299578250,63210071521
02bb5e47ee26aca1654ce092d9d06eac15d953210c737f2220e2d7e54c4f108677,261975129000,31981886329
02e0af3c70bf42343316513e54683b10c01d906c04a05dfcd9479b90d7beed9129,336427864250,47299697396
033b63e4a9931dc151037acbce12f4f8968c86f5655cf102bbfa85a26bd4adc6d9,656148934000,99475316321
03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba,234563577000,23420838818
03f2f3b5ac54d7b4fbecc0978888b66fe318af6595b6344ba7a2368e61075ffc98,668555600000,97674262406
02331d1f135caec169e2dbf6456acb8233075346e66a1f0e35896d50ea6e09ba71,164421144000,19240570188
02aace31b8120e29cfc29d991b63fe8614cddd3fbf6148431cc3a68932c363ed29,147497875500,18986639260
0323f3d268a7664152c0732d5d1faf2c80dc8d8529895378344d1c395e9ec407e1,140224879000,14585926893
02e74c09ca720c891221164424651f62176a4737a4b2fd4f75a5befee127e90b9e,87158443000,10339108690
02443f0492883486d37a84988736817dedf873f77ccef585fb1c774f716260e358,96770000000,8805917636
0255d866898e58b63735586f66faf07731b3dcfd079122e0f31bcfc373f543c355,55288347750,3693192700
02cd8f6cd8ae9db8715f8c44dde211b6175424af48da8342286bfccda4d1937141,524339433750,60255980590
03a067159347c79706d9f8c856b471d12df193d47c07115b6001a4ff9a6aa84b99,55006412000,7052076581
03cd502dee15bb9859a6d9c56a5608c1f76894736ec4cfec906eb025b7623293dc,356007680250,47565145721
039c45c288cc3aad70cf884220f6ba3890cb9a8bd26974f651f797d79f5334ccb0,198676205000,19603784002
03910da61c1b42e135f134ed92a537c758d1edac5436efbec5ee8cec1928e1a095,275227690000,34329406354
0280107c4f5a5aaed2eebc2a72db52a263b791e4fc807bd2b50359d8ce2efcee3f,241294781500,24358036394
03bec3989098df0675033530169ef105b1bd3be8fd989cb7955cb4b59616ab3530,575999531000,49491102141
02c5f1d24302aa9e7a01cbc5bb286e316baad64bc88aa4fe278a8886d4523d3f81,56527215000,8810078435
033533e2db6311c1d417d41279c067d8713ad8a7d577a0d91e65df2f6a82c5b862,87961441000,11430433791
03e94e144ad749a1cb11972212267fac12c0abfe0ca5a33985dcece556e62a1443,461819041750,56277148238
0229ba89bd21cad840ba50ea2bdc86d9e709318965d42bb7ef7609c191be7b8fd8,170047715000,17351574496
0354e7f1ad34a37899e71026accb3f9f5264f23ef47153c5b3803ab4ce54cd2bc9,271533591000,22115598095
03262093ea8a32eccfa990730042e2de157a3a2dec9dc94f08c3af574edd0ee648,190250000000,25262048411
026aada144b8fc72fa1371e56cf6f5addd4338ea40618bcc8835b861d6543bee24,97870982000,14779151021
02bca5e545b5e6f868dd887653c16d57e8e177d433fe455e41db5b87d1bba7f317,42500000000,4281895565
03f1db913dccc3330664723def2a84295d8a067d5ad0605bed68023f990ff40325,240591024000,30226632692
024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,63599290000,18294594820
024d07b3408c35e03983f6a6c02d3e70c14f5a00ebc49c395342aee6e64d02fe41,380379209250,42557125190
02309f3556d51e9d855594762dcf68cb283fbfd7e48618b6cecb8cd90e2e34d8ad,170859140750,21016918079
026209a739dbf4ab8c73db56773a61247e92fecc53ec5c8f7ae41f6d11fec64a04,201063863000,24624609452
035f209faaea75427949e3e6c1fc9edafbf751f08706506bb873fdc93ffc2d4e2c,48078761250,4457186928
0382b31dcff337311bf919411c5073c9c9a129890993f94f4a16eaaeffd91c7788,514074793500,71480383135
038bdb5538a4e415c42f8fb09750729752c1a1800d321f4bb056a9f582569fbf8e,81582607750,9507876376
0312d61bdeeaf335423453dfb45bb9f091f8fa1459b7e99c21d43d47e5fe714fae,175216299250,21901652406
03931f3675b173c7388492305c11c044c165ceac17e5c54ba417a78cbf18c93312,505361274250,65266831466
03b3007e8230bbb7542bd697846b26736dc8f9c117f3a8e895247354c773fd66b8,376997748000,49451754268
032ebdae3314f072acd70e66e18572e6ba27f96918009369585e7cdcf36af3cf9e,111194788000,13706200933
03d2e20bc19d995098ba357157a9cfbfbfdff4b78fce5ec713128e988e0115d776,390858462500,63795383994
029c5fd64570f2d40dfc2f683865c81e93269dc032416142de5e2e2461359ae34d,546057889750,86279410472
03f80288f858251aed6f70142fab79dede5427a0ff4b618707bd0a616527a8cec7,970352015000,132482993710
02c197ffa4c2aa4105dd4c4b7279ba1b9061b22910ebbfa759b0001bed9ee48a16,189590125750,18912140559
0311edbceea21b34be1c33df0fcebeaebc4061ba4212146ac46134c487a44d4450,308593348250,47490636423
022c699df736064b51a33017abfc4d577d133f7124ac117d3d9f9633b6297a3b6a,297560071500,43801367033
02d0174302d68aeafc3d7bbf53db02cac059581a675af288edde5818347365dea0,51987723000,3155334472
02af8028235f66eb55b25eeaa3f6386f019fa4fd81e819b922a7aafe7f1bde34ad,11470000000,1432300379
032a54b1e9cd2ff8ec5f58915a749cf074e957006e8b4da9c8497fed4b6c6f88dc,490982768000,64882359583
0201443a430b135e5f159afb447d9254c7b373c9fd43f69f9468c9162ab481f510,293877215000,33554344045
038775102258944fbad46ce629d453317ddf62dfd391e623e0db3efff0fb006762,100622064000,11450096399
021a7fdb703858939c5ba14680a74a21bcb585c237280256c0fb9109ae6bbc9454,278411075000,28723363529
033868c219bdb51a33560d854d500fe7d3898a1ad9e05dd89d0007e11313588500,487667422500,58010302561
0259819df53a233993e993a872d82d7e3fc64376f3fe7d0f2831963b01f6dca075,99306359250,14719454984
0263967f25220f4dee1d7f386b177fe2c7f4209fb6735529b41841096c055945f8,235410126250,26966066213
03295d2e292565743a40bd44da227a820f8730877bc3dfadebade8785bcf355258,208389721500,29254685699
023e09c43b215bd3dbf483bcb409da3322ea5ea3b046f74698b89ee9ea785dd30a,221544721000,26673892651
0245f703677f3c4066ee684caa3cbec90aef082542009f000186f1e455017169cc,363650814000,52008540618
02a45def9ae014fdd2603dd7033d157faa3a55a72b06a63ae22ef46d9fafdc6e8d,214643916250,34370813577
034a7b1ac1239ff2ac8438ce0a7ade1048514b77d4322f514e96918e6c13944861,334115299000,42310337549
020a1df50b701331a29782093210460b10eee0ac5ef6a01b9c51dff9b8fddf5fb0,596959381750,76100955237
025b5150c66f3ea41367829f6e4639c772fe4c7939b71933802233493e6e972a8e,120750000000,10150234606
0371c434f14a3c977fbe3d5ebc37fec1af3546efa778aa76c782a528f5ac939b44,1050865521750,132820321774
034a879c36f418cb5b44b6903b3c6c1cfb5f4beb1e79b9b479c040b7df9cbc56be,841846395500,121589404597
0387cc9d4114aa5a4c9721c1837cdc133668a05a15dce5e3e99171b35dd65f7443,394377215000,38730420539
03120e72271aae5504c052011ec9bf28217534448406582f9f154f67a637c4e145,163585215000,25469084748
02d1c3900bd7833f2e459b5f6ddfcb2143e9bc6613d10aa0473b54b8ecc68655cd,381541863250,62647679653
039c1a98666ad4cf4ee5e7441a220a12a838dc8d5787ecfed29824280b7ccc7852,41943037500,7103531741
03ac61c971d146787a036f75e80a9fbede238a75d0c396f1fe996def00f0ac5dbe,709023583000,74051527296
03d6b14390cd178d670aa2d57c93d9519feaae7d1e34264d8bbb7932d47b75a50d,253625919750,34132192030
036e157ff9118ca032480f4f873ece4ad9c5d0aba2079a3215809b137a6e24368a,68406495000,7536483395
03fd105d7df6595d5a36f016b8ff9ca74e5474e29593c4bba85f4d7ad4663bc5ee,242278390500,26480804822
03d67293bea1d531353a5026d752783628ef15f285fb00207b4eb72185674e9ec5,169584530000,20799617865
02916283815d94c98328622b82c99014d9539da62748be25a8b642d8204e06aa87,50000000000,5564681211
03bc1b2acab7b9884fd5ca515084252c7b1898c1f1a4da098afefcbccd4d74f5de,176578294500,19783921418
02cffd722f871b8f064130d2879027c9b169a95ab6ccedbaea4ade7b5d0678ff67,44500000000,4012979877
02fc845f19505d6207d0f426ce40cd3a43dc319af2f32674465f1f428821f5b6d5,133438131000,19094457214
031c7ecff228dfe6054307ee49c8616998af5f8d4436f13c07d211aeb6c0ec87f7,1349131580500,194922751322
037c280bcf030eceafce2d27beca4fee45dcd150ec31ef32df27e6b3a804c02641,316350184000,40900202672
